Order,State,18orOlder
6,Alabama,703
7,Alaska,96
8,Arizona,892
9,Arkansas,449
10,California,5278
11,Colorado,670
12,Connecticut,475
13,Delaware,129
14,District of Columbia,104
15,Florida,2554
16,Georgia,1364
17,Hawaii,188
18,Idaho,231
19,Illinois,1610
20,Indiana,954
21,Iowa,418
22,Kansas,371
23,Kentucky,646
24,Louisiana,681
25,Maine,225
26,Maryland,740
27,Massachusetts,1005
28,Michigan,1509
29,Minnesota,730
30,Mississippi,416
31,Missouri,863
32,Montana,153
33,Nebraska,247
34,Nevada,381
35,New Hampshire,193
36,New Jersey,1055
37,New Mexico,297
38,New York,2825
39,North Carolina,1347
40,North Dakota,88
41,Ohio,1719
42,Oklahoma,575
43,Oregon,673
44,Pennsylvania,1768
45,Rhode Island,165
46,South Carolina,644
47,South Dakota,105
48,Tennessee,1001
49,Texas,3394
50,Utah,437
51,Vermont,98
52,Virginia,1080
53,Washington,1039
54,West Virginia,314
55,Wisconsin,797
56,Wyoming,83
