Order,State,18orOlder
6,Alabama,703000
7,Alaska,96000
8,Arizona,892000
9,Arkansas,449000
10,California,5278000
11,Colorado,670000
12,Connecticut,475000
13,Delaware,129000
14,District.of.Columbia,104000
15,Florida,2554000
16,Georgia,1364000
17,Hawaii,188000
18,Idaho,231000
19,Illinois,1610000
20,Indiana,954000
21,Iowa,418000
22,Kansas,371000
23,Kentucky,646000
24,Louisiana,681000
25,Maine,225000
26,Maryland,740000
27,Massachusetts,1005000
28,Michigan,1509000
29,Minnesota,730000
30,Mississippi,416000
31,Missouri,863000
32,Montana,153000
33,Nebraska,247000
34,Nevada,381000
35,New.Hampshire,193000
36,New.Jersey,1055000
37,New.Mexico,297000
38,New.York,2825000
39,North.Carolina,1347000
40,North.Dakota,88000
41,Ohio,1719000
42,Oklahoma,575000
43,Oregon,673000
44,Pennsylvania,1768000
45,Rhode.Island,165000
46,South.Carolina,644000
47,South.Dakota,105000
48,Tennessee,1001000
49,Texas,3394000
50,Utah,437000
51,Vermont,98000
52,Virginia,1080000
53,Washington,1039000
54,West.Virginia,314000
55,Wisconsin,797000
56,Wyoming,83000
