Mental Illness Age,2008,2009,2010,2011,2012,2013,2014
AMI with SUD all,35.7,37.4,38.5,36.1,40.7,37.8,39.1
AMI with SUD  18-25 ,32.6,31.4,32.1,32.4,35.8,34.9,36
AMI with SUD  26-49 ,40.3,43.1,44.8,39.4,45.7,43.8,42.7
AMI with SUD  50 or Older ,27.2,32.6,33.2,34,35.6,27.5,35.6
AMI no SUD all,15.9,16.2,16.1,16.2,16.5,16.7,16.2
AMI no SUD 18-25 ,14.8,14.6,14.6,15.4,15.8,16.2,17
AMI no SUD 26-49 ,18.4,19.1,18.3,18.4,18.3,19,17.9
AMI no SUD 50 or Older ,13.7,13.8,14.4,14.4,15,14.8,14.5
SMI with SUD all,9.5,9.9,11.7,11.2,12.6,11.4,11.3
SMI with SUD 18-25 ,8.4,6.6,8.4,8.3,8.7,9.7,10.4
SMI with SUD 26-49 ,11.4,11.9,15.1,12.5,14.5,13.2,12.3
SMI with SUD 50 or Older ,5.7,10.1,8.5,13.4,14.2,9.6,10.5
SMI no SUD all,3.1,3.1,3.3,3.2,3.2,3.5,3.4
SMI no SUD 18-25 ,2.5,2.5,2.8,2.7,3.1,3.1,3.7
SMI no SUD 26-49 ,4,4.1,4.1,4.3,4.1,4.4,4.1
SMI no SUD 50 or Older ,2.4,2.2,2.8,2.4,2.6,2.9,2.8
AMI excl SMI with SUD all,26.2,27.6,26.8,24.8,28.1,26.4,27.8
AMI excl SMI with SUD  18-25 ,24.2,24.8,23.7,24,27.1,25.3,25.6
AMI excl SMI with SUD  26-49 ,28.9,31.3,29.7,26.9,31.2,30.7,30.4
AMI excl SMI with SUD  50 or Older ,21.5,22.5,24.7,20.7,21.4,17.9,25.1
AMI excl SMI no SUD all,12.8,13.1,12.7,13,13.2,13.1,12.8
AMI excl SMI no SUD  18-25 ,12.3,12.1,11.8,12.6,12.8,13.1,13.3
AMI excl SMI no SUD  26-49 ,14.4,15,14.2,14.1,14.3,14.6,13.8
AMI excl SMI no SUD  50 or Older ,11.3,11.5,11.7,12,12.4,11.8,11.7
