Char,Total,Aged 18-25,Aged 26-49,Aged 50+
U.S.,18.1,20.1,20.4,15.4
Northeast,17.6,22,20.2,14.1
Midwest,18.5,20.9,21.7,14.9
South,17.8,18.2,19.6,15.9
West,18.8,20.9,20.7,16.2
Large Metro,17.2,20.1,19.4,14.1
Small Metro,18.7,20,20.8,16.5
250K-1Mil,18.6,20.2,21,16
250K ,19.1,19.6,20.5,17.6
Nonmetro,20.1,20,23.8,17.6
Urbanized,20.6,21,24.4,17.3
Less Urbanized,19.9,19.1,23.5,17.6
Completely Rural,19.5,19.2,22.2,18.2
Less Than 100 FPL,25.7,20.3,27,28.6
High School,20.3,18.9,21.2,20
High School Graduate,17.7,18.4,20.1,15.8
College Graduate,15.8,21.8,19,11.5
Privatehealth insurance,15.4,20.5,17,12.5
MedicaidCHIP,29.7,20,33.3,31
Other,18.5,19.8,31.7,16.6
No Coverage,20.9,19.3,22.3,18.9
