Socioeconomic,Total,Aged 18-25,Aged 26-49,Aged 50+
TOTAL,4.1,4.8,4.9,3.1
Northeast,4,5.3,5.5,2.3
Midwest,4.5,5.2,5.4,3.5
South,3.9,4.4,4.7,3.1
West,4,4.7,4.4,3.4
Large Metro,3.8,5,4.5,2.6
Small Metro,4.3,4.7,5.1,3.5
250K - 1 Mil. Pop.,4.3,5.2,5,3.3
< 250K Pop.,4.4,3.9,5.2,3.9
Nonmetro,4.8,4.5,6,4
Urbanized,5,4.4,6.1,4.3
Less Urbanized,4.5,4.4,5.9,3.6
Completely Rural,5.2,5.4,6.2,4.6
Less Than 100%,7,5,8.1,7.4
< High School,4.8,4.7,5.2,4.5
High School Graduate,4.2,4.8,5.5,3.1
Some College,4.7,5.1,5.8,3.5
College Graduate,3.1,4.3,3.7,2.2
Private,2.9,4.7,3.5,2
Medicaid/CHIP3,8.2,5,10.3,7.7
Other4,4.1,5.4,11.2,3
No Coverage,5.2,4.7,5.5,5.2
