http://www.samhsa.gov/data/sites/default/files/NSDUH-MHDetTabs2014/NSDUH-MHDetTabs2014.htm#tab1-16b,,,,,,,,
150409,,,,,,,,
"Table 1.6B – Serious Mental Illness in the Past Year among Persons Aged 18 or Older, by Age Group, Geographic Characteristics, and Socioeconomic Characteristics: Percentages, 2013 and 2014",,,,,,,,
Geographic/Socioeconomic,Total,Total,Aged 18-25,Aged 18-25,Aged 26-49,Aged 26-49,Aged 50+,Aged 50+
Characteristic,-2013,-2014,-2013,-2014,-2013,-2014,-2013,-2014
*Low precision; no estimate reported.,,,,,,,,
"NOTE: Serious Mental Illness (SMI) is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders—Fourth Edition—Research Version—Axis I Disorders (MHSS-SCID) which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). SMI includes persons with diagnoses resulting in serious functional impairment. These mental illness estimates are based on a predictive model and are not direct measures of diagnostic status. For details on the methodology, see Section B.4.3 in Appendix B of the Results from the 2013 National Survey on Drug Use and Health: Mental Health Findings.",,,,,,,,
a Difference between estimate and 2014 estimate is statistically significant at the 0.05 level.,,,,,,,,
b Difference between estimate and 2014 estimate is statistically significant at the 0.01 level.,,,,,,,,
"1 Estimates are based on a definition of Poverty Level that incorporates information on family income, size, and composition and is calculated as a percentage of the U.S. Census Bureau's poverty thresholds. Respondents aged 18 to 22 who were living in a college dormitory were excluded.",,,,,,,,
"2 Respondents could indicate multiple types of health insurance; thus, these response categories are not mutually exclusive.",,,,,,,,
3 CHIP is the Children's Health Insurance Program. Individuals aged 19 or younger are eligible for this plan.,,,,,,,,
"4 Other Health Insurance is defined as having Medicare, CHAMPUS, TRICARE, CHAMPVA, the VA, military health care, or any other type of health insurance.",,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,
TOTAL,4.2,4.1,4.2a,4.8,5.3,4.9,3.2,3.1
GEOGRAPHIC REGION,,,,,,,,
Northeast,3.8,4,4.2,5.3,5.2,5.5,2.5,2.3
Midwest,4.5,4.5,4.9,5.2,5.2,5.4,3.6,3.5
South,4.4,3.9,3.5a,4.4,5.7a,4.7,3.4,3.1
West,4,4,4.7,4.7,4.8,4.4,3,3.4
COUNTY TYPE,,,,,,,,
Large Metro,4,3.8,4.0a,5,4.7,4.5,3.3,2.6
Small Metro,4.1,4.3,4.4,4.7,5.8,5.1,2.7,3.5
250K - 1 Mil. Pop.,4.1,4.3,4.4,5.2,5.4,5,2.8,3.3
< 250K Pop.,4.3,4.4,4.5,3.9,6.7,5.2,2.3,3.9
Nonmetro,5.1,4.8,4.7,4.5,6.8,6,4,4
Urbanized,5.7,5,5.1,4.4,6.8,6.1,5.1,4.3
Less Urbanized,4.6,4.5,4,4.4,7.2,5.9,3,3.6
Completely Rural,4.4,5.2,6,5.4,5,6.2,3.8,4.6
POVERTY LEVEL1,,,,,,,,
Less Than 100%,7.7,7,4.5,5,9.9,8.1,7.5,7.4
100-199%,5.1,5.1,4.6,4.6,6.7,6,3.8,4.5
200% or More,3.2,3.1,3.9a,4.7,3.8,3.8,2.5,2.1
EDUCATION,,,,,,,,
< High School,4.4,4.8,4.5,4.7,5.1,5.2,3.7,4.5
High School Graduate,4.3,4.2,4.2,4.8,5.5,5.5,3.3,3.1
Some College,4.8,4.7,4.2,5.1,7.1,5.8,2.8,3.5
College Graduate,3.6,3.1,3.9,4.3,3.9,3.7,3.2,2.2
HEALTH INSURANCE2,,,,,,,,
Private,3,2.9,4.1,4.7,3.5,3.5,2.4,2
Medicaid/CHIP3,8.3,8.2,4.2,5,10.5,10.3,8.3,7.7
Other4,4.1,4.1,4.7,5.4,12.2,11.2,3.1,3
No Coverage,5.9,5.2,4.5,4.7,7.1a,5.5,4.2,5.2
