Demographic Characteristic,Total,Aged 18-25,Aged 26-49,Aged 50+
TOTAL,18.1,20.1,20.4,15.4
Male,14.1,16,16.1,11.6
Female,21.8,24.2,24.5,18.8
Not Hispanic or Latino,18.6,20.8,21.5,15.5
White,19.2,22.3,23.2,15.5
Black or African American,16.3,13.7,16.6,17.2
American Indian or Alaska Native,21.2,21.7,22.9,n/a
Native Hawaiian or Other Pacific Islander,22.3,n/a,n/a,n/a
Asian,13.1,21.2,13.7,8.3
Two or More Races,27.1,26.6,31.6,23
Hispanic or Latino,15.6,17.5,15.6,14.4
Full-Time employed,14.8,17.7,16.9,10.3
Part-Time employed,20,22.5,23.8,14.6
Unemployed,25.1,23,29.5,20.4
Other employed,21.8,20.1,31.3,19.4
